PREFIX, NUMBER, TOTAL, 0.0-.9, 1.0-1.9, 2.0-2.9, 3.0-4.0
TMATH,116,772,0.10621761658031088,0.12176165803108809,0.2759067357512953,0.4961139896373057
TMATH,120,902,0.12971175166297116,0.10532150776053215,0.2394678492239468,0.5254988913525499
TMATH,124,1770,0.12768361581920903,0.10451977401129943,0.2423728813559322,0.5254237288135594
TMATH,125,1468,0.1055858310626703,0.13896457765667575,0.25681198910081743,0.4986376021798365
TMATH,126,976,0.09733606557377049,0.08709016393442623,0.2725409836065574,0.5430327868852459
TMATH,171,30,0.1,0.03333333333333333,0.13333333333333333,0.7333333333333333
TMATH,207,20,0.05,0.1,0.1,0.75
TMATH,208,54,0.037037037037037035,0.05555555555555555,0.18518518518518517,0.7222222222222222
TMATH,210,214,0.0514018691588785,0.018691588785046728,0.102803738317757,0.8271028037383178
TMATH,300,282,0.1099290780141844,0.06382978723404255,0.23049645390070922,0.5957446808510638
TMATH,316,17,0.11764705882352941,0.11764705882352941,0.29411764705882354,0.47058823529411764
TMATH,324,125,0.088,0.064,0.208,0.64
TMATH,342,13,0.15384615384615385,0.0,0.15384615384615385,0.6923076923076923
TMATH,344,75,0.02666666666666667,0.04,0.16,0.7733333333333333
TMATH,350,184,0.02717391304347826,0.010869565217391304,0.03804347826086957,0.9239130434782609
TMATH,351,94,0.010638297872340425,0.02127659574468085,0.031914893617021274,0.9361702127659575
TMATH,390,1083,0.024930747922437674,0.03693444136657433,0.20036934441366575,0.7377654662973222
TMATH,402,150,0.04666666666666667,0.03333333333333333,0.20666666666666667,0.7133333333333334
TMATH,403,83,0.012048192771084338,0.024096385542168676,0.14457831325301204,0.8192771084337349
TMATH,410,97,0.061855670103092786,0.030927835051546393,0.21649484536082475,0.6907216494845361
TMATH,412,47,0.10638297872340426,0.0425531914893617,0.2553191489361702,0.5957446808510638
TMATH,413,23,0.17391304347826086,0.043478260869565216,0.08695652173913043,0.6956521739130435
TMATH,420,100,0.02,0.03,0.22,0.73
TMATH,424,128,0.1328125,0.0859375,0.2109375,0.5703125
TMATH,425,50,0.0,0.08,0.38,0.54
TMATH,427,34,0.029411764705882353,0.029411764705882353,0.14705882352941177,0.7941176470588235
TMATH,450,99,0.010101010101010102,0.010101010101010102,0.08080808080808081,0.898989898989899
TMATH,490,10,0.0,0.0,0.0,1.0
TMATH,495,13,0.0,0.0,0.07692307692307693,0.9230769230769231
TMATH,498,111,0.0,0.009009009009009009,0.02702702702702703,0.963963963963964
TME,221,28,0.0,0.0,0.14285714285714285,0.8571428571428571
TME,222,20,0.0,0.0,0.1,0.9
TME,223,17,0.0,0.0,0.11764705882352941,0.8823529411764706
TME,310,54,0.0,0.018518518518518517,0.1111111111111111,0.8703703703703703
TME,311,18,0.0,0.0,0.1111111111111111,0.8888888888888888
TME,315,44,0.022727272727272728,0.0,0.22727272727272727,0.75
TME,320,44,0.0,0.0,0.06818181818181818,0.9318181818181818
TME,331,37,0.0,0.0,0.24324324324324326,0.7567567567567568
TME,332,18,0.0,0.05555555555555555,0.1111111111111111,0.8333333333333334
TME,341,17,0.058823529411764705,0.0,0.11764705882352941,0.8235294117647058
TME,342,17,0.0,0.0,0.058823529411764705,0.9411764705882353
TME,345,19,0.0,0.0,0.21052631578947367,0.7894736842105263
TME,351,17,0.0,0.0,0.11764705882352941,0.8823529411764706
TME,373,17,0.0,0.0,0.23529411764705882,0.7647058823529411
TME,412,10,0.0,0.0,0.1,0.9
TME,433,18,0.0,0.05555555555555555,0.0,0.9444444444444444
TME,441,17,0.0,0.0,0.35294117647058826,0.6470588235294118
TME,480,17,0.0,0.0,0.0,1.0
TME,499,8,0.0,0.0,0.0,1.0
TNPRFT,231,189,0.07407407407407407,0.031746031746031744,0.19576719576719576,0.6984126984126984
TNPRFT,432,20,0.0,0.0,0.25,0.75
TNPRFT,448,29,0.0,0.0,0.0,1.0
TNPRFT,449,23,0.043478260869565216,0.0,0.0,0.9565217391304348
TNPRFT,450,17,0.0,0.11764705882352941,0.058823529411764705,0.8235294117647058
TNPRFT,451,65,0.03076923076923077,0.046153846153846156,0.16923076923076924,0.7538461538461538
TNPRFT,453,28,0.03571428571428571,0.0,0.42857142857142855,0.5357142857142857
TNPRFT,455,26,0.11538461538461539,0.0,0.11538461538461539,0.7692307692307693
